#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,3,9,0,5,6,1,1,3,2,3,0,0,1,0,1,1,1,4,0,2,1,1,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0
37,7,34,70,65,48,32,54,20,32,42,17,49,3,9,23,31,6,21,38,52,0,64,12,20,3,6,67,54,1,9,2,24,14,1,10,4,7,27,15
157,30,83,205,165,193,71,144,86,105,134,61,157,26,40,115,117,17,89,150,151,7,178,39,63,38,43,173,148,15,61,12,83,69,14,57,34,51,104,72
322,90,141,334,256,386,98,238,179,182,213,149,298,76,105,208,235,44,178,250,278,34,310,81,139,98,134,291,245,54,148,57,147,165,49,127,104,132,164,146
469,157,179,453,328,604,131,326,296,270,317,239,440,138,195,319,369,88,283,364,381,87,421,122,212,177,215,414,346,122,262,112,214,277,92,198,215,243,227,206
619,226,233,577,403,798,164,407,405,378,415,307,561,197,284,455,481,145,361,459,482,142,524,164,311,272,318,495,438,197,403,176,281,413,135,309,303,354,272,304
778,295,283,716,472,1000,194,492,513,447,493,387,696,276,339,566,588,181,448,566,601,188,628,199,395,358,433,602,529,256,520,242,337,535,188,354,402,507,328,371
912,380,324,849,534,1175,223,578,630,528,611,449,803,333,413,670,695,224,510,653,703,238,728,245,464,474,532,694,604,323,623,313,401,644,231,441,509,641,390,442
1051,437,378,979,588,1342,248,655,725,601,674,524,920,399,487,780,803,277,575,747,794,285,808,281,539,566,631,785,678,395,742,366,444,751,265,510,601,797,449,501
1197,513,413,1093,641,1505,274,729,818,675,743,598,1032,469,561,878,941,329,646,834,873,327,883,307,611,650,719,854,756,451,849,435,494,840,317,580,684,895,504,565
1315,589,463,1200,686,1677,309,801,900,745,825,660,1130,536,630,979,1058,362,721,906,982,380,971,337,676,725,794,939,820,484,976,500,533,939,360,659,746,1054,574,631
1433,667,511,1312,740,1807,339,876,992,819,877,702,1225,596,695,1093,1143,395,796,995,1082,437,1048,379,739,819,874,1017,873,529,1072,568,575,1031,395,717,833,1171,643,691
1547,729,552,1414,798,1939,376,951,1056,887,952,751,1296,648,722,1212,1245,431,836,1086,1169,477,1135,417,787,890,977,1133,946,590,1167,613,629,1131,431,776,926,1281,690,739
1672,799,590,1530,825,2093,402,1013,1129,963,1013,811,1398,692,758,1299,1344,452,881,1153,1250,531,1224,441,858,974,1065,1201,1000,636,1244,679,671,1214,474,821,978,1384,741,780
1785,832,634,1619,838,2197,427,1094,1177,1040,1077,860,1484,753,801,1402,1447,477,940,1211,1332,561,1293,467,902,1054,1146,1285,1088,674,1338,726,701,1295,503,885,1058,1520,780,826
1890,899,657,1722,893,2336,445,1150,1222,1108,1127,880,1577,819,877,1484,1567,506,1018,1289,1408,596,1368,500,964,1114,1228,1344,1131,710,1431,778,731,1368,539,931,1110,1591,829,861
1991,942,697,1832,916,2460,458,1207,1307,1181,1177,943,1668,872,911,1588,1639,540,1068,1353,1479,649,1430,535,1036,1190,1297,1422,1211,762,1522,818,751,1472,588,984,1173,1694,882,901
2100,989,747,1906,936,2583,493,1274,1348,1264,1246,981,1723,918,940,1675,1730,570,1134,1410,1563,694,1495,552,1081,1248,1387,1497,1272,815,1599,867,804,1554,621,1009,1215,1778,937,937
2200,1040,782,1962,946,2702,517,1335,1398,1327,1291,1022,1823,977,969,1777,1804,578,1177,1482,1632,731,1566,586,1137,1317,1447,1533,1329,847,1688,921,846,1624,651,1039,1261,1845,978,980
2298,1082,814,2027,943,2809,532,1394,1456,1375,1342,1076,1905,1017,996,1874,1870,606,1220,1539,1691,771,1616,599,1177,1394,1520,1603,1377,884,1750,971,904,1688,681,1089,1348,1935,1005,1035
2365,1103,853,2093,980,2942,539,1469,1495,1409,1375,1112,1970,1068,1035,1971,1959,625,1269,1586,1744,802,1667,624,1235,1493,1594,1666,1461,916,1821,1019,949,1735,700,1122,1392,1994,1054,1094
2451,1149,898,2171,991,3014,561,1513,1533,1475,1421,1136,2040,1103,1059,2076,2030,667,1301,1670,1821,825,1715,659,1278,1561,1658,1742,1525,960,1885,1057,969,1800,725,1145,1462,2063,1106,1145
2537,1180,934,2248,1022,3130,583,1571,1559,1536,1479,1162,2096,1167,1081,2177,2096,697,1312,1727,1848,841,1731,674,1335,1606,1727,1802,1590,983,1930,1109,981,1859,750,1195,1528,2149,1148,1189
2634,1201,963,2309,1039,3211,609,1622,1592,1584,1533,1178,2141,1201,1097,2294,2150,727,1351,1763,1923,871,1761,689,1376,1686,1801,1847,1656,1010,1992,1158,998,1927,756,1225,1584,2205,1166,1205
2696,1235,990,2343,1044,3323,632,1661,1640,1668,1579,1199,2202,1242,1106,2377,2212,756,1392,1803,1988,895,1795,698,1410,1750,1853,1871,1711,1043,2041,1210,1015,1992,799,1265,1619,2267,1203,1247
2772,1272,1014,2407,1033,3375,645,1723,1656,1727,1605,1216,2298,1285,1108,2474,2291,783,1432,1833,2031,916,1837,707,1441,1811,1943,1896,1743,1079,2089,1231,1021,2037,809,1287,1655,2352,1234,1282
2825,1269,1034,2496,1054,3440,665,1770,1709,1775,1662,1241,2333,1331,1127,2540,2341,796,1436,1872,2070,941,1872,728,1480,1863,1998,1956,1800,1116,2141,1261,1045,2102,831,1326,1686,2411,1267,1305
2920,1280,1056,2525,1060,3546,686,1808,1742,1829,1716,1262,2329,1365,1133,2626,2420,801,1476,1920,2121,972,1893,736,1527,1917,2053,2020,1849,1135,2195,1289,1057,2189,831,1356,1748,2482,1298,1323
2987,1289,1090,2613,1082,3623,703,1877,1779,1872,1758,1282,2368,1407,1153,2728,2475,822,1503,1988,2180,992,1892,741,1551,1958,2119,2079,1876,1142,2256,1321,1076,2233,829,1364,1770,2580,1331,1334
3058,1306,1118,2685,1100,3723,714,1928,1786,1912,1784,1333,2405,1433,1142,2826,2543,848,1546,2013,2208,1002,1918,746,1568,2002,2186,2126,1893,1176,2308,1348,1091,2267,847,1386,1805,2673,1374,1351
3104,1331,1134,2731,1126,3791,735,1968,1823,1948,1820,1337,2432,1438,1150,2923,2625,867,1580,2062,2263,1038,1932,760,1601,2065,2211,2172,1935,1209,2319,1384,1111,2317,873,1389,1834,2738,1395,1386
3146,1341,1146,2803,1127,3884,761,2012,1838,2023,1827,1374,2487,1447,1154,3002,2685,868,1588,2104,2316,1052,1939,776,1650,2131,2277,2179,1978,1211,2370,1415,1118,2377,876,1385,1851,2792,1419,1412
3228,1354,1165,2843,1127,3951,790,2057,1850,2076,1863,1403,2518,1486,1150,3076,2765,899,1608,2150,2340,1065,1974,780,1683,2193,2292,2237,2003,1233,2381,1423,1140,2429,894,1410,1887,2839,1441,1426
