#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
2451,1149,898,2171,991,3014,561,1513,1533,1475,1421,1136,2040,1103,1059,2076,2030,667,1301,1670,1821,825,1715,659,1278,1561,1658,1742,1525,960,1885,1057,969,1800,725,1145,1462,2063,1106,1145
2503,1159,928,2214,1012,3089,572,1541,1558,1516,1473,1157,2075,1145,1080,2146,2066,686,1307,1705,1837,834,1723,673,1318,1606,1708,1782,1564,963,1917,1102,978,1845,742,1177,1510,2116,1137,1176
2565,1200,946,2266,1017,3153,588,1593,1557,1558,1503,1160,2101,1177,1086,2219,2124,707,1340,1739,1873,851,1739,675,1354,1635,1764,1820,1616,994,1946,1135,996,1887,749,1207,1536,2176,1156,1208
2634,1201,963,2309,1039,3211,609,1622,1592,1584,1533,1178,2141,1201,1097,2294,2150,727,1351,1763,1923,871,1761,689,1376,1686,1801,1847,1656,1010,1992,1158,998,1927,756,1225,1584,2205,1166,1205
2668,1226,982,2329,1040,3280,624,1654,1616,1634,1561,1189,2185,1221,1103,2351,2196,736,1375,1792,1969,888,1800,684,1393,1726,1835,1860,1695,1042,2029,1195,1003,1963,785,1255,1608,2246,1200,1232
2727,1246,1000,2355,1046,3351,634,1678,1642,1677,1598,1202,2237,1249,1105,2407,2238,767,1401,1814,2003,900,1809,698,1417,1770,1885,1883,1718,1053,2067,1222,1021,2017,804,1268,1628,2288,1209,1261
2772,1272,1014,2407,1033,3375,645,1723,1656,1727,1605,1216,2298,1285,1108,2474,2291,783,1432,1833,2031,916,1837,707,1441,1811,1943,1896,1743,1079,2089,1231,1021,2037,809,1287,1655,2352,1234,1282
2793,1264,1029,2465,1044,3422,664,1751,1684,1768,1653,1242,2320,1319,1111,2501,2327,794,1437,1858,2064,930,1854,717,1474,1851,1981,1924,1777,1106,2126,1255,1032,2081,819,1304,1673,2384,1260,1306
2856,1266,1035,2512,1064,3476,669,1776,1734,1798,1681,1240,2337,1344,1130,2576,2364,793,1448,1880,2079,948,1881,729,1501,1872,2007,1975,1816,1124,2165,1277,1054,2136,834,1340,1715,2432,1279,1309
2920,1280,1056,2525,1060,3546,686,1808,1742,1829,1716,1262,2329,1365,1133,2626,2420,801,1476,1920,2121,972,1893,736,1527,1917,2053,2020,1849,1135,2195,1289,1057,2189,831,1356,1748,2482,1298,1323
2987,1269,1081,2593,1078,3598,695,1865,1766,1866,1747,1275,2369,1392,1144,2697,2469,819,1495,1961,2150,996,1902,743,1532,1948,2106,2053,1857,1140,2247,1313,1067,2215,834,1357,1768,2548,1323,1327
3016,1293,1099,2624,1084,3644,706,1880,1779,1879,1762,1290,2376,1409,1155,2752,2502,829,1513,2004,2194,994,1887,742,1565,1961,2148,2098,1891,1148,2289,1326,1086,2243,827,1367,1777,2603,1347,1348
3058,1306,1118,2685,1100,3723,714,1928,1786,1912,1784,1333,2405,1433,1142,2826,2543,848,1546,2013,2208,1002,1918,746,1568,2002,2186,2126,1893,1176,2308,1348,1091,2267,847,1386,1805,2673,1374,1351
3091,1318,1128,2722,1116,3762,727,1951,1821,1938,1813,1336,2420,1441,1144,2886,2596,853,1557,2042,2237,1024,1936,762,1588,2046,2205,2152,1922,1197,2301,1368,1115,2307,866,1396,1821,2717,1388,1373
3111,1329,1143,2755,1131,3805,746,1996,1825,1981,1822,1358,2445,1441,1157,2949,2650,864,1579,2076,2286,1041,1938,770,1622,2092,2229,2167,1945,1208,2343,1391,1108,2340,881,1392,1832,2757,1408,1396
3146,1341,1146,2803,1127,3884,761,2012,1838,2023,1827,1374,2487,1447,1154,3002,2685,868,1588,2104,2316,1052,1939,776,1650,2131,2277,2179,1978,1211,2370,1415,1118,2377,876,1385,1851,2792,1419,1412
3201,1351,1163,2821,1139,3922,779,2054,1854,2065,1845,1400,2509,1479,1157,3054,2741,892,1602,2128,2337,1063,1966,778,1669,2171,2290,2208,1994,1233,2385,1431,1136,2406,880,1406,1880,2833,1425,1419
3253,1350,1169,2871,1148,3965,798,2051,1862,2094,1888,1425,2520,1493,1147,3104,2777,898,1637,2169,2351,1080,1984,790,1707,2206,2329,2251,2002,1228,2372,1428,1141,2434,896,1421,1889,2859,1444,1446
