#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1,0,1,0,0,0,0,0,7,0,0,0,0,5,0,0,0,2,0,1,10,0,0,16,7,0,0,0,9,0,0,20,0,0,0,0,0,0,0
42,1,2,4,0,0,0,0,0,29,0,2,0,0,27,0,0,0,12,0,12,42,0,0,53,53,0,0,2,40,10,4,53,0,0,1,0,0,0,0
98,4,5,9,2,0,0,4,0,66,0,11,0,3,58,1,4,2,25,1,42,112,1,0,88,108,1,0,10,86,23,22,83,0,0,3,0,0,0,2
158,12,23,24,5,0,0,9,0,88,0,30,1,9,106,9,10,7,42,6,77,194,3,1,125,190,8,1,32,156,41,42,126,0,0,13,0,4,0,6
251,35,55,41,16,0,0,18,0,110,0,61,3,25,152,17,21,15,61,8,122,293,12,2,166,259,19,2,59,209,64,86,162,0,0,30,0,14,0,18
339,57,108,53,44,1,1,30,0,134,0,90,9,54,206,37,40,25,86,13,163,397,24,4,201,354,31,7,91,270,97,126,207,2,0,53,0,24,1,46
437,92,161,67,75,5,6,50,0,157,1,142,24,78,251,60,65,43,109,20,197,491,50,9,248,427,47,14,127,317,126,183,241,2,0,89,0,38,1,87
526,126,222,84,116,10,8,59,0,176,5,210,47,106,297,91,104,66,139,28,247,573,80,16,301,501,66,27,173,385,156,221,282,9,0,126,0,71,1,134
597,166,298,101,152,15,17,72,2,190,13,278,87,131,349,130,144,92,159,34,295,677,113,24,349,582,88,39,211,437,188,261,328,17,2,185,0,104,6,192
677,199,342,119,176,23,30,90,4,214,28,341,136,155,390,157,170,120,194,52,325,785,151,41,393,668,108,64,256,488,233,305,362,33,5,226,0,150,10,240
743,240,395,142,221,35,43,109,8,224,50,401,187,187,459,193,206,149,221,64,359,873,185,57,423,725,135,89,294,557,280,351,402,49,8,286,0,188,12,301
791,285,438,160,257,39,60,132,19,241,75,469,241,212,504,237,247,182,248,76,399,960,219,74,459,802,163,110,327,606,309,368,439,73,15,330,0,231,21,363
866,339,480,193,288,54,84,155,26,258,92,532,307,251,545,272,288,218,275,96,439,1064,266,94,484,881,195,125,369,665,354,402,475,106,30,375,0,272,30,431
923,375,535,216,318,68,108,176,37,281,115,585,396,280,580,325,330,265,296,120,469,1158,307,106,525,954,221,150,410,718,390,441,535,135,46,419,0,320,42,500
1001,423,605,236,352,80,144,186,55,299,150,655,471,310,628,358,368,303,317,146,518,1245,340,125,580,1019,251,180,446,773,430,495,575,173,58,470,0,384,58,581
1068,461,658,254,377,93,179,208,77,320,182,728,555,342,665,387,422,334,337,163,559,1345,381,154,618,1079,271,224,480,832,458,544,621,215,78,513,0,424,69,649
1136,492,700,275,400,111,224,237,111,343,239,787,624,381,709,428,458,367,357,169,603,1448,405,178,660,1143,291,257,509,877,481,580,651,269,103,560,0,456,95,703
1199,543,752,293,447,129,261,261,154,362,288,852,693,419,743,473,508,401,382,193,637,1543,448,209,689,1205,320,285,535,926,520,606,696,310,130,604,0,499,109,755
1261,569,806,308,482,152,309,289,182,385,345,910,758,444,779,511,568,447,412,219,684,1652,491,237,724,1278,342,323,572,969,570,652,725,357,165,655,0,557,131,807
1332,612,874,325,515,170,347,316,221,411,403,958,822,470,820,543,604,495,428,240,721,1747,528,266,766,1358,363,361,608,1004,595,692,760,437,201,701,0,587,152,865
1382,645,924,337,557,186,380,332,268,433,462,1027,883,493,870,586,640,534,452,261,773,1849,568,280,794,1435,391,382,652,1041,638,716,787,484,242,745,0,620,172,935
1453,684,981,358,578,207,421,368,317,451,514,1081,952,510,909,623,675,583,478,274,797,1956,612,305,830,1517,409,415,686,1088,677,753,807,535,277,789,0,648,202,983
1509,717,1040,374,617,223,464,390,368,473,565,1127,1008,529,944,653,705,626,499,304,827,2054,645,333,869,1568,433,441,720,1127,718,791,835,582,315,829,2,669,228,1047
1551,749,1094,391,637,242,502,404,423,488,625,1178,1087,556,980,685,744,669,524,322,856,2168,676,346,889,1626,462,478,758,1187,741,809,871,635,359,886,2,688,255,1103
1626,775,1134,401,661,261,546,427,472,507,684,1224,1149,577,1016,725,780,697,551,339,889,2266,708,357,936,1695,497,499,791,1228,771,836,913,692,412,933,2,732,279,1167
1672,808,1187,425,692,268,590,434,525,526,731,1284,1217,598,1047,758,819,744,587,355,921,2374,737,372,973,1780,524,523,819,1259,809,864,951,738,467,982,5,773,292,1201
1727,828,1229,444,734,286,617,461,577,534,784,1345,1290,613,1090,792,849,779,617,368,951,2448,769,388,1009,1870,550,547,858,1302,845,888,995,764,515,1020,7,816,318,1256
1791,859,1291,454,765,299,650,483,653,542,826,1386,1354,624,1127,818,889,817,637,391,985,2539,797,399,1035,1925,571,570,891,1340,885,912,1024,802,551,1051,7,843,340,1311
1861,895,1334,474,785,319,687,498,711,556,874,1431,1419,666,1155,845,911,851,658,404,1010,2630,821,412,1060,1974,580,597,926,1382,920,939,1052,856,582,1083,8,874,372,1357
1904,925,1378,500,813,339,721,502,761,582,935,1470,1484,683,1199,888,932,891,676,430,1050,2727,857,430,1085,2016,606,620,968,1427,944,966,1089,906,640,1119,9,916,410,1392
1957,958,1405,527,851,355,755,525,832,597,982,1522,1540,696,1230,914,966,926,694,449,1070,2832,887,442,1132,2095,633,642,1010,1480,986,982,1130,948,672,1156,9,946,430,1437
2015,974,1461,535,857,363,790,534,896,615,1026,1575,1609,717,1250,944,981,963,714,461,1112,2917,925,452,1170,2157,653,672,1058,1537,1011,1000,1160,992,720,1195,13,984,457,1484
2067,1006,1504,553,877,379,823,549,937,631,1079,1624,1668,744,1293,984,999,1000,744,477,1142,3022,962,457,1204,2205,685,701,1094,1582,1045,1023,1188,1035,774,1224,12,1020,490,1540
2126,1036,1565,561,911,394,838,556,1002,657,1128,1674,1705,754,1316,1007,1014,1033,762,497,1159,3107,1005,468,1226,2261,714,732,1126,1613,1073,1049,1219,1084,818,1264,13,1061,508,1600
2158,1069,1612,572,944,406,861,561,1067,669,1179,1717,1776,780,1339,1051,1042,1061,795,516,1190,3194,1030,483,1259,2309,732,758,1163,1639,1101,1075,1244,1127,879,1298,17,1083,533,1660
2204,1098,1648,586,975,419,903,579,1131,696,1232,1762,1832,796,1355,1079,1068,1104,821,534,1214,3300,1062,506,1285,2353,747,785,1195,1667,1147,1094,1271,1178,920,1342,20,1120,555,1701
2253,1121,1689,602,1010,429,938,592,1205,718,1267,1783,1881,824,1379,1120,1105,1136,837,553,1240,3383,1083,522,1304,2402,771,806,1232,1707,1169,1111,1295,1218,963,1384,26,1140,577,1730
2287,1159,1738,627,1032,444,971,612,1243,729,1314,1837,1918,829,1408,1149,1135,1159,857,564,1271,3481,1112,544,1328,2459,784,826,1269,1742,1203,1132,1324,1258,996,1409,30,1167,603,1756
2327,1196,1759,646,1050,457,990,618,1308,740,1349,1872,1977,839,1437,1176,1168,1178,880,577,1301,3584,1140,559,1344,2525,808,840,1309,1790,1230,1156,1360,1299,1018,1456,35,1186,625,1820
2375,1224,1792,661,1062,476,1010,632,1360,745,1403,1903,2030,860,1453,1218,1202,1207,892,591,1331,3657,1167,569,1370,2594,839,864,1336,1820,1255,1173,1400,1334,1050,1487,42,1199,639,1860
2414,1261,1817,674,1078,484,1032,653,1412,764,1440,1951,2060,882,1475,1251,1221,1237,916,600,1354,3735,1183,591,1379,2654,862,883,1359,1857,1265,1198,1427,1366,1107,1526,48,1238,658,1906
2457,1291,1865,689,1100,498,1054,677,1467,779,1461,1985,2107,906,1492,1285,1242,1278,935,620,1374,3805,1205,608,1407,2720,881,900,1370,1886,1292,1218,1465,1394,1135,1552,55,1253,684,1943
2520,1321,1888,716,1116,501,1085,695,1532,787,1510,2035,2144,918,1522,1311,1266,1316,956,638,1389,3896,1240,619,1432,2767,890,931,1404,1920,1307,1236,1482,1427,1177,1589,63,1289,710,1980
2589,1346,1921,730,1129,514,1110,699,1596,798,1535,2071,2179,935,1557,1340,1283,1351,977,670,1398,4001,1260,639,1462,2831,925,962,1432,1953,1340,1264,1509,1440,1219,1629,73,1313,727,2017
